,altitude,availableBikes,availableDocks,city,id,landMark,lastCommunicationTime,latitude,location,longitude,postalCode,stAddress1,stAddress2,stationName,statusValue,testStation,totalDocks,PUMA
98,,6,20,,326,,2019-01-18 02:45:50 PM,40.72953837,,-73.98426726,,E 11 St & 1 Ave,,E 11 St & 1 Ave,In Service,False,27,3809.0
99,,32,5,,327,,2019-01-18 02:44:48 PM,40.715337899999994,,-74.01658354,,Vesey Pl & River Terrace,,Vesey Pl & River Terrace,In Service,False,39,3810.0
100,,6,15,,328,,2019-01-18 02:44:36 PM,40.72405549,,-74.00965965,,Watts St & Greenwich St,,Watts St & Greenwich St,In Service,False,23,3810.0
101,,17,19,,330,,2019-01-18 02:43:51 PM,40.71450451,,-74.00562789,,Reade St & Broadway,,Reade St & Broadway,In Service,False,40,3810.0
102,,4,22,,331,,2019-01-18 02:46:00 PM,40.71173107,,-73.99193043,,Pike St & Monroe St,,Pike St & Monroe St,In Service,False,27,3809.0
103,,12,11,,332,,2019-01-18 02:44:52 PM,40.71219906,,-73.97948148,,Cherry St,,Cherry St,In Service,False,24,3809.0
104,,30,1,,334,,2019-01-18 02:45:23 PM,40.74238787,,-73.99726235,,W 20 St & 7 Ave,,W 20 St & 7 Ave,In Service,False,31,3807.0
105,,15,11,,335,,2019-01-18 02:42:26 PM,40.72903917,,-73.99404649,,Washington Pl & Broadway,,Washington Pl & Broadway,In Service,False,27,3810.0
106,,22,13,,336,,2019-01-18 02:46:03 PM,40.73047747,,-73.99906065,,Sullivan St & Washington Sq,,Sullivan St & Washington Sq,In Service,False,36,3810.0
107,,32,5,,337,,2019-01-18 02:44:29 PM,40.703799200000006,,-74.00838676,,Old Slip & Front St,,Old Slip & Front St,In Service,False,37,3810.0
108,,4,20,,339,,2019-01-18 02:42:41 PM,40.72580614,,-73.97422494,,Avenue D & E 12 St,,Avenue D & E 12 St,In Service,False,24,3809.0
109,,7,20,,340,,2019-01-18 02:44:48 PM,40.71269042,,-73.98776323,,Madison St & Clinton St,,Madison St & Clinton St,In Service,False,27,3809.0
110,,4,15,,341,,2019-01-18 02:42:20 PM,40.71782143,,-73.97628939,,Stanton St & Mangin St,,Stanton St & Mangin St,In Service,False,19,3809.0
111,,8,19,,342,,2019-01-18 02:44:57 PM,40.71739973,,-73.98016555,,Columbia St & Rivington St,,Columbia St & Rivington St,In Service,False,29,3809.0
112,,22,1,,343,,2019-01-18 02:45:22 PM,40.69794,,-73.96986848,,Clinton Ave & Flushing Ave,,Clinton Ave & Flushing Ave,In Service,False,23,4004.0
113,,10,12,,344,,2019-01-18 02:45:50 PM,40.6851443,,-73.95380904,,Monroe St & Bedford Ave,,Monroe St & Bedford Ave,In Service,False,23,4003.0
